wordCount,uniqueWords,numberOfRepeatedWords,ratioOfTotalWordsToUnique,DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,averageSetWordLength,WordsRhymes,RatioOfPOStoWords,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,semantic_similarity,average_word_frequency,avg_word_similarity_hebrew,avg_word_similarity_english,word_similarity_large,MappedStyle
270,128,142,0.474074074,117,12,6.819081722,7.03045906,4.03125,1042,0.044444444,146.375,17,368010.413,1.851851852,13726.119,0.65082246,0.001072264,0.271420181,0.278547764,0.8606961,0
61,21,40,0.344262295,21,5,5.540223929,5.679253219,2.095238095,2,0.081967213,6.6,10,569240.591,9.836065574,684366.641,0.5735923,0.000161666,0.483424395,0.471656203,0.88688606,0
283,147,136,0.519434629,126,13,7.437730774,7.629535562,4.054421769,951,0.045936396,12.165,37,493148.054,4.240282686,27550.513,0.60048974,0.001932952,0.283861548,0.285734445,0.8638009,0
70,52,18,0.742857143,50,10,5.818669384,5.969815782,3.846153846,22,0.142857143,13.3,17,1150926.878,0,0,0.7366002,0.001019717,0.477752328,0.405095637,0.86540866,0
210,87,123,0.414285714,76,9,6.693005065,6.835055103,3.850574713,253,0.042857143,111.19,2,176394.098,4.285714286,2248.895,0.5593175,0.002395306,0.395546168,0.318324864,0.8756732,0
171,95,76,0.555555556,86,12,6.828479833,6.892003697,4.063157895,312,0.070175439,38.8,5,337466.491,1.169590643,83.22,0.6348468,0.002301069,0.305247188,0.282182097,0.8697374,0
177,73,104,0.412429379,68,10,6.477869758,6.63978254,3.931506849,189,0.056497175,90.725,2,107975.252,3.95480226,9309.785,0.61920893,0.001986231,0.459212452,0.345089227,0.87537205,0
82,61,21,0.743902439,58,10,6.191701855,6.321928095,3.852459016,76,0.12195122,44.9,4,371000.661,3.658536585,6551.282,0.7187891,0.001151342,0.493596315,0.386858314,0.8643447,0
73,58,15,0.794520548,51,10,6.031036113,6.121578105,4.103448276,28,0.136986301,42.3,17,2261727.64,1.369863014,49.02,0.6944436,0.003872275,0.501396179,0.432929903,0.8665019,0
97,71,26,0.731958763,66,9,6.418295834,6.485645082,4.098591549,56,0.092783505,5.47,3,380587.572,1.030927835,147.929,0.6046977,0.002323645,0.432928473,0.385825753,0.8755351,0
