DiffLemmas,DiffPOS,bigramsEntropy,trigramsEntropy,readabilityMeasure,NumberOfUniqueWordsby1/freq,AvgUniqueness,percentageOfRepeatedWords,theUniquenessLvlOfTheRepeatedSongs,avg_word_similarity_hebrew,word_similarity_large,MappedStyle
89,11,6.743337449,6.830941616,74.5,15,1372885.193,1.470588235,270.099,0.411807418,0.8626383,3
45,8,5.748872266,6.043539819,47.595,6,149075.273,4.12371134,8146.269,0.423303485,0.872393,3
68,9,6.634165246,6.722446217,63,8,1013105.207,2.631578947,6060708.09,0.48393786,0.8726408,3
70,10,6.404359545,6.543659999,80.24,8,198439.433,1.666666667,1810.076,0.421253145,0.87071157,3
72,10,6.71406366,6.859287271,9.215,3,166490.079,4.487179487,1793.272,0.433821589,0.8794536,3
47,8,6.043568731,6.07953895,38.815,5,936736.526,0,0,0.440718085,0.87752885,3
59,11,6.091099725,6.194689247,58.885,12,385280.664,2.586206897,86.226,0.416851699,0.87188524,3
75,8,6.513153409,6.584620486,11.15,7,260274.375,0,0,0.438659519,0.8668393,3
51,9,6.142664356,6.202152024,4.6,9,1715513.24,1.298701299,49.02,0.40797326,0.8716191,3
43,8,5.654804775,6.16002669,60.16,18,925934.491,2.884615385,1875.875,0.462009758,0.8747474,3
51,7,6.072085306,6.254696295,45.57,3,92267.709,3.409090909,781.262,0.412090331,0.86681604,3
81,9,6.842208593,6.965056872,66.295,10,592205.175,0.740740741,147.929,0.302691162,0.87064064,3
